query,expected_title,baseline_top1,baseline_top3,rag_top1,rag_top3,baseline_hit1,baseline_hit3,rag_hit1,rag_hit3,baseline_rr3,rag_rr3
小朋友中午要睡觉，午间别排队,亲子慢旅行偏好,夜间安全约束,夜间安全约束 | 亲子慢旅行偏好 | 摄影采风偏好,亲子慢旅行偏好,亲子慢旅行偏好 | 夏季避暑策略 | 夜间安全约束,False,True,True,True,0.5000,1.0000
亲子出游要有母婴设施,亲子慢旅行偏好,亲子慢旅行偏好,亲子慢旅行偏好 | 摄影采风偏好 | 雨天备选策略,亲子慢旅行偏好,亲子慢旅行偏好 | 无障碍需求 | 博物馆预约规则,True,True,True,True,1.0000,1.0000
拍日落和清晨光线为主的行程,摄影采风偏好,亲子慢旅行偏好,亲子慢旅行偏好 | 摄影采风偏好 | 雨天备选策略,摄影采风偏好,摄影采风偏好 | 夜间安全约束 | 亲子慢旅行偏好,False,True,True,True,0.5000,1.0000
想安排城市夜景机位拍摄,摄影采风偏好,夜间安全约束,夜间安全约束 | 摄影采风偏好 | 亲子慢旅行偏好,摄影采风偏好,摄影采风偏好 | 夜间安全约束 | 公共交通优先,False,True,True,True,0.5000,1.0000
如果天气不好就多排室内馆,雨天备选策略,摄影采风偏好,摄影采风偏好 | 雨天备选策略 | 酒店选址偏好,雨天备选策略,雨天备选策略 | 夏季避暑策略 | 无障碍需求,False,True,True,True,0.5000,1.0000
遇雨怎么调整，不想在外面淋雨,雨天备选策略,雨天备选策略,雨天备选策略 | 亲子慢旅行偏好 | 摄影采风偏好,雨天备选策略,雨天备选策略 | 夏季避暑策略 | 无障碍需求,True,True,True,True,1.0000,1.0000
餐饮别放辛辣口味，还要规避坚果,饮食限制与过敏,预算控制规则,预算控制规则 | 夏季避暑策略 | 饮食限制与过敏,饮食限制与过敏,饮食限制与过敏 | 预算控制规则 | 无障碍需求,False,True,True,True,0.3333,1.0000
有过敏体质，点餐要看过敏原,饮食限制与过敏,饮食限制与过敏,饮食限制与过敏 | 亲子慢旅行偏好 | 摄影采风偏好,饮食限制与过敏,饮食限制与过敏 | 预算控制规则 | 无障碍需求,True,True,True,True,1.0000,1.0000
市内尽量用轨道交通和步行,公共交通优先,公共交通优先,公共交通优先 | 亲子慢旅行偏好 | 摄影采风偏好,公共交通优先,公共交通优先 | 无障碍需求 | 雨天备选策略,True,True,True,True,1.0000,1.0000
不想频繁打车，步行距离要短,公共交通优先,亲子慢旅行偏好,亲子慢旅行偏好 | 摄影采风偏好 | 雨天备选策略,公共交通优先,公共交通优先 | 酒店选址偏好 | 夜间安全约束,False,False,True,True,0.0000,1.0000
热门场馆门票要提前锁定名额,博物馆预约规则,博物馆预约规则,博物馆预约规则 | 亲子慢旅行偏好 | 摄影采风偏好,博物馆预约规则,博物馆预约规则 | 预算控制规则 | 无障碍需求,True,True,True,True,1.0000,1.0000
